,,0,
2019-05-01,4478,93,
2019-05-02,3741,68,
2019-05-03,3960,73,
2019-05-04,4401,89,
2019-05-05,4456,83,
2019-05-06,3680,91,
2019-05-07,3820,84,
2019-05-08,3801,92,
2019-05-09,3753,92,
2019-05-10,3980,89,
2019-05-11,4344,104,
2019-05-12,4240,95,
2019-05-13,3679,76,
2019-05-14,3743,86,
2019-05-15,3509,78,
2019-05-16,3645,85,
2019-05-17,3530,76,
2019-05-18,3819,95,
2019-05-19,4070,94,
2019-05-20,3428,81,
2019-05-21,3542,86,
2019-05-22,3637,75,
2019-05-23,3458,82,
2019-05-24,3564,78,
2019-05-25,3918,82,
2019-05-26,4158,76,
2019-05-27,3887,91,
2019-05-28,3884,94,
2019-05-29,3955,93,
2019-05-30,3782,94,
2019-05-31,3935,92,
2019-06-01,3887,91,
2019-06-02,3896,91,
2019-06-03,3640,84,
2019-06-04,3716,85,
2019-06-05,3318,70,
2019-06-06,3674,69,
2019-06-07,3345,77,
2019-06-08,3532,65,
2019-06-09,3761,93,
2019-06-10,3522,74,
2019-06-11,3552,81,
2019-06-12,3421,94,
2019-06-13,3446,94,
2019-06-14,3545,86,
2019-06-15,3888,94,
2019-06-16,4032,91,
2019-06-17,3675,79,
2019-06-18,3593,86,
2019-06-19,3600,86,
2019-06-20,3510,85,
2019-06-21,3806,101,
2019-06-22,4003,95,
2019-06-23,4234,92,
2019-06-24,3928,77,
2019-06-25,3915,89,
2019-06-26,3846,89,
2019-06-27,3818,68,
2019-06-28,3929,101,
2019-06-29,4066,81,
2019-06-30,4189,99,
2019-07-01,3803,90,
2019-07-02,3935,94,
2019-07-03,3838,93,
2019-07-04,3950,89,
2019-07-05,3877,75,
2019-07-06,3876,96,
2019-07-07,3998,89,
2019-07-08,3728,82,
2019-07-09,3634,88,
2019-07-10,3562,84,
2019-07-11,3424,77,
2019-07-12,3423,70,
2019-07-13,3586,84,
2019-07-14,3654,74,
2019-07-15,3419,89,
2019-07-16,3629,86,
2019-07-17,3589,70,
2019-07-18,3451,84,
2019-07-19,3490,74,
2019-07-20,3583,66,
2019-07-21,3710,84,
2019-07-22,3545,79,
2019-07-23,3509,85,
2019-07-24,3396,67,
2019-07-25,3484,73,
2019-07-26,3042,69,
2019-07-27,3457,86,
2019-07-28,3660,83,
2019-07-29,3174,79,
2019-07-30,3297,72,
2019-07-31,3139,77,
2019-08-01,3487,69,
2019-08-02,3513,79,
2019-08-03,4039,77,
2019-08-04,3963,81,
2019-08-05,3194,68,
2019-08-06,3541,85,
2019-08-07,3441,78,
2019-08-08,3566,82,
2019-08-09,3474,77,
2019-08-10,3682,86,
2019-08-11,3725,113,
2019-08-12,3312,86,
2019-08-13,3344,67,
2019-08-14,3407,72,
2019-08-15,3292,82,
2019-08-16,3397,81,
2019-08-17,3660,96,
2019-08-18,3709,92,
2019-08-19,3268,59,
2019-08-20,3372,68,
2019-08-21,3463,72,
2019-08-22,3434,63,
2019-08-23,3607,62,
2019-08-24,3860,103,
2019-08-25,3994,100,
2019-08-26,3333,78,
2019-08-27,3346,60,
2019-08-28,3433,66,
2019-08-29,3466,77,
2019-08-30,3660,78,
2019-08-31,3787,89,
2019-09-01,,90,
2019-09-02,,83,
2019-09-03,,56,
2019-09-04,,75,
2019-09-05,,73,
2019-09-06,,76,
2019-09-07,,79,
2019-09-08,,88,
2019-09-09,,62,
