,0
2019-05-01,9367
2019-05-02,7236
2019-05-03,7697
2019-05-04,8540
2019-05-05,8868
2019-05-06,6859
2019-05-07,7188
2019-05-08,7142
2019-05-09,7288
2019-05-10,7968
2019-05-11,8922
2019-05-12,8684
2019-05-13,7052
2019-05-14,7387
2019-05-15,6951
2019-05-16,7038
2019-05-17,6878
2019-05-18,7646
2019-05-19,8275
2019-05-20,6551
2019-05-21,6788
2019-05-22,6998
2019-05-23,6662
2019-05-24,6833
2019-05-25,7774
2019-05-26,8341
2019-05-27,7732
2019-05-28,7705
2019-05-29,8000
2019-05-30,7433
2019-05-31,7880
2019-06-01,7793
2019-06-02,7939
2019-06-03,7226
2019-06-04,7616
2019-06-05,6632
2019-06-06,7490
2019-06-07,6675
2019-06-08,7062
2019-06-09,7883
2019-06-10,7004
2019-06-11,7097
2019-06-12,7121
2019-06-13,7056
2019-06-14,7351
2019-06-15,8003
2019-06-16,8372
2019-06-17,7420
2019-06-18,7307
2019-06-19,7190
2019-06-20,6805
2019-06-21,7694
2019-06-22,8145
2019-06-23,9026
2019-06-24,7990
2019-06-25,8058
2019-06-26,8023
2019-06-27,7668
2019-06-28,8273
2019-06-29,8322
2019-06-30,8680
2019-07-01,7928
2019-07-02,8211
2019-07-03,8046
2019-07-04,8138
2019-07-05,7983
2019-07-06,8105
2019-07-07,8594
2019-07-08,7629
2019-07-09,7489
2019-07-10,7137
2019-07-11,6914
2019-07-12,6860
2019-07-13,7027
2019-07-14,7321
2019-07-15,6894
2019-07-16,7371
2019-07-17,7223
2019-07-18,6948
2019-07-19,7179
2019-07-20,7317
2019-07-21,7530
2019-07-22,7209
2019-07-23,7043
2019-07-24,6721
2019-07-25,6957
2019-07-26,6034
2019-07-27,6946
2019-07-28,7318
2019-07-29,6176
2019-07-30,6292
2019-07-31,6120
2019-08-01,6804
2019-08-02,6846
2019-08-03,8249
2019-08-04,8013
2019-08-05,6426
2019-08-06,6970
2019-08-07,6848
2019-08-08,7009
2019-08-09,6880
2019-08-10,7347
2019-08-11,7624
2019-08-12,6466
2019-08-13,6531
2019-08-14,6711
2019-08-15,6341
2019-08-16,6619
2019-08-17,7228
2019-08-18,7439
2019-08-19,6103
2019-08-20,6494
2019-08-21,6572
2019-08-22,6378
2019-08-23,6950
2019-08-24,7722
2019-08-25,8096
2019-08-26,6481
2019-08-27,6373
2019-08-28,6431
2019-08-29,6624
2019-08-30,7131
2019-08-31,7374
2019-09-01,183
2019-09-02,158
2019-09-03,119
2019-09-04,213
2019-09-05,159
2019-09-06,271
2019-09-07,197
2019-09-08,151
2019-09-09,102
2019-09-10,129
2019-09-11,112
2019-09-12,150
2019-09-13,147
2019-09-14,192
2019-09-15,167
2019-09-16,184
2019-09-17,160
2019-09-18,127
2019-09-19,153
2019-09-20,147
2019-09-21,150
2019-09-22,137
2019-09-23,140
2019-09-24,145
2019-09-25,148
2019-09-26,155
2019-09-27,119
2019-09-28,191
2019-09-29,152
2019-09-30,183
2019-10-01,184
2019-10-02,119
2019-10-03,190
2019-10-04,353
2019-10-05,397
2019-10-06,380
2019-10-07,416
2019-10-08,391
2019-10-09,379
2019-10-10,213
2019-10-11,406
2019-10-12,436
2019-10-13,413
2019-10-14,418
2019-10-15,287
2019-10-16,328
2019-10-17,307
2019-10-18,357
2019-10-19,397
2019-10-20,334
2019-10-21,236
2019-10-22,161
2019-10-23,179
2019-10-24,186
2019-10-25,165
2019-10-26,182
2019-10-27,204
2019-10-28,147
2019-10-29,196
2019-10-30,93
2019-10-31,131
2019-11-01,143
2019-11-02,211
2019-11-03,146
2019-11-04,173
2019-11-05,135
2019-11-06,163
2019-11-07,129
2019-11-08,147
2019-11-09,174
2019-11-10,139
2019-11-11,134
2019-11-12,118
2019-11-13,122
2019-11-14,99
2019-11-15,101
2019-11-16,149
2019-11-17,148
2019-11-18,110
2019-11-19,101
2019-11-20,119
2019-11-21,117
2019-11-22,111
2019-11-23,139
2019-11-24,148
2019-11-25,133
2019-11-26,70
2019-11-27,89
2019-11-28,123
2019-11-29,116
2019-11-30,123
2019-12-01,157
2019-12-02,164
2019-12-03,87
2019-12-04,86
2019-12-05,91
2019-12-06,128
2019-12-07,80
2019-12-08,165
2019-12-09,92
2019-12-10,65
2019-12-11,73
2019-12-12,89
2019-12-13,111
2019-12-14,139
2019-12-15,136
2019-12-16,122
